Time and date,II,PLETH
12:12:44.286 07/10/1995,-0.117,-0.126
12:12:44.288 07/10/1995,-0.112,-0.152
12:12:44.290 07/10/1995,-0.107,-0.152
12:12:44.292 07/10/1995,-0.104,-0.152
12:12:44.294 07/10/1995,-0.102,-0.152
12:12:44.296 07/10/1995,-0.103,-0.178
12:12:44.298 07/10/1995,-0.104,-0.178
12:12:44.300 07/10/1995,-0.106,-0.178
12:12:44.302 07/10/1995,-0.108,-0.178
12:12:44.304 07/10/1995,-0.109,-0.201
12:12:44.306 07/10/1995,-0.110,-0.201
12:12:44.308 07/10/1995,-0.111,-0.201
12:12:44.310 07/10/1995,-0.111,-0.201
12:12:44.312 07/10/1995,-0.110,-0.222
12:12:44.314 07/10/1995,-0.108,-0.222
12:12:44.316 07/10/1995,-0.099,-0.222
12:12:44.318 07/10/1995,-0.091,-0.222
12:12:44.320 07/10/1995,-0.066,-0.241
12:12:44.322 07/10/1995,-0.041,-0.241
12:12:44.324 07/10/1995,0.008,-0.241
12:12:44.326 07/10/1995,0.056,-0.241
12:12:44.328 07/10/1995,0.130,-0.256
12:12:44.330 07/10/1995,0.204,-0.256
12:12:44.332 07/10/1995,0.296,-0.256
12:12:44.334 07/10/1995,0.388,-0.256
12:12:44.336 07/10/1995,0.475,-0.271
12:12:44.338 07/10/1995,0.562,-0.271
12:12:44.340 07/10/1995,0.620,-0.271
12:12:44.342 07/10/1995,0.679,-0.271
12:12:44.344 07/10/1995,0.692,-0.280
12:12:44.346 07/10/1995,0.705,-0.280
12:12:44.348 07/10/1995,0.671,-0.280
12:12:44.350 07/10/1995,0.636,-0.280
12:12:44.352 07/10/1995,0.571,-0.289
12:12:44.354 07/10/1995,0.505,-0.289
12:12:44.356 07/10/1995,0.433,-0.289
12:12:44.358 07/10/1995,0.361,-0.289
12:12:44.360 07/10/1995,0.301,-0.299
12:12:44.362 07/10/1995,0.242,-0.299
12:12:44.364 07/10/1995,0.206,-0.299
12:12:44.366 07/10/1995,0.170,-0.299
12:12:44.368 07/10/1995,0.159,-0.304
12:12:44.370 07/10/1995,0.148,-0.304
12:12:44.372 07/10/1995,0.153,-0.304
12:12:44.374 07/10/1995,0.159,-0.304
12:12:44.376 07/10/1995,0.170,-0.311
12:12:44.378 07/10/1995,0.180,-0.311
12:12:44.380 07/10/1995,0.191,-0.311
12:12:44.382 07/10/1995,0.201,-0.311
12:12:44.384 07/10/1995,0.208,-0.316
12:12:44.386 07/10/1995,0.216,-0.316
12:12:44.388 07/10/1995,0.224,-0.316
12:12:44.390 07/10/1995,0.232,-0.316
12:12:44.392 07/10/1995,0.245,-0.324
12:12:44.394 07/10/1995,0.257,-0.324
12:12:44.396 07/10/1995,0.270,-0.324
12:12:44.398 07/10/1995,0.283,-0.324
12:12:44.400 07/10/1995,0.288,-0.331
12:12:44.402 07/10/1995,0.293,-0.331
12:12:44.404 07/10/1995,0.283,-0.331
12:12:44.406 07/10/1995,0.273,-0.331
12:12:44.408 07/10/1995,0.248,-0.338
12:12:44.410 07/10/1995,0.224,-0.338
12:12:44.412 07/10/1995,0.191,-0.338
12:12:44.414 07/10/1995,0.158,-0.338
12:12:44.416 07/10/1995,0.126,-0.347
12:12:44.418 07/10/1995,0.094,-0.347
12:12:44.420 07/10/1995,0.067,-0.347
12:12:44.422 07/10/1995,0.040,-0.347
12:12:44.424 07/10/1995,0.019,-0.357
12:12:44.426 07/10/1995,-0.001,-0.357
12:12:44.428 07/10/1995,-0.018,-0.357
12:12:44.430 07/10/1995,-0.035,-0.357
12:12:44.432 07/10/1995,-0.046,-0.369
12:12:44.434 07/10/1995,-0.058,-0.369
12:12:44.436 07/10/1995,-0.064,-0.369
12:12:44.438 07/10/1995,-0.069,-0.369
12:12:44.440 07/10/1995,-0.071,-0.379
12:12:44.442 07/10/1995,-0.072,-0.379
12:12:44.444 07/10/1995,-0.071,-0.379
12:12:44.446 07/10/1995,-0.070,-0.379
12:12:44.448 07/10/1995,-0.069,-0.389
12:12:44.450 07/10/1995,-0.067,-0.389
12:12:44.452 07/10/1995,-0.065,-0.389
12:12:44.454 07/10/1995,-0.064,-0.389
12:12:44.456 07/10/1995,-0.063,-0.403
12:12:44.458 07/10/1995,-0.062,-0.403
12:12:44.460 07/10/1995,-0.062,-0.403
12:12:44.462 07/10/1995,-0.062,-0.403
12:12:44.464 07/10/1995,-0.062,-0.415
12:12:44.466 07/10/1995,-0.063,-0.415
12:12:44.468 07/10/1995,-0.064,-0.415
12:12:44.470 07/10/1995,-0.065,-0.415
12:12:44.472 07/10/1995,-0.065,-0.427
12:12:44.474 07/10/1995,-0.066,-0.427
12:12:44.476 07/10/1995,-0.065,-0.427
12:12:44.478 07/10/1995,-0.065,-0.427
12:12:44.480 07/10/1995,-0.064,-0.440
12:12:44.482 07/10/1995,-0.064,-0.440
12:12:44.484 07/10/1995,-0.063,-0.440
12:12:44.486 07/10/1995,-0.062,-0.440
12:12:44.488 07/10/1995,-0.060,-0.454
12:12:44.490 07/10/1995,-0.059,-0.454
12:12:44.492 07/10/1995,-0.058,-0.454
12:12:44.494 07/10/1995,-0.056,-0.454
12:12:44.496 07/10/1995,-0.055,-0.466
12:12:44.498 07/10/1995,-0.054,-0.466
12:12:44.500 07/10/1995,-0.051,-0.466
12:12:44.502 07/10/1995,-0.049,-0.466
12:12:44.504 07/10/1995,-0.044,-0.475
12:12:44.506 07/10/1995,-0.039,-0.475
12:12:44.508 07/10/1995,-0.034,-0.475
12:12:44.510 07/10/1995,-0.029,-0.475
12:12:44.512 07/10/1995,-0.023,-0.487
12:12:44.514 07/10/1995,-0.017,-0.487
12:12:44.516 07/10/1995,-0.011,-0.487
12:12:44.518 07/10/1995,-0.004,-0.487
12:12:44.520 07/10/1995,0.002,-0.499
12:12:44.522 07/10/1995,0.008,-0.499
12:12:44.524 07/10/1995,0.011,-0.499
12:12:44.526 07/10/1995,0.014,-0.499
12:12:44.528 07/10/1995,0.015,-0.511
12:12:44.530 07/10/1995,0.016,-0.511
12:12:44.532 07/10/1995,0.016,-0.511
12:12:44.534 07/10/1995,0.016,-0.511
12:12:44.536 07/10/1995,0.018,-0.519
12:12:44.538 07/10/1995,0.019,-0.519
12:12:44.540 07/10/1995,0.023,-0.519
12:12:44.542 07/10/1995,0.026,-0.519
12:12:44.544 07/10/1995,0.030,-0.531
12:12:44.546 07/10/1995,0.033,-0.531
12:12:44.548 07/10/1995,0.038,-0.531
12:12:44.550 07/10/1995,0.043,-0.531
12:12:44.552 07/10/1995,0.046,-0.540
12:12:44.554 07/10/1995,0.049,-0.540
12:12:44.556 07/10/1995,0.050,-0.540
12:12:44.558 07/10/1995,0.052,-0.540
12:12:44.560 07/10/1995,0.052,-0.553
12:12:44.562 07/10/1995,0.052,-0.553
12:12:44.564 07/10/1995,0.053,-0.553
12:12:44.566 07/10/1995,0.054,-0.553
12:12:44.568 07/10/1995,0.055,-0.562
12:12:44.570 07/10/1995,0.055,-0.562
12:12:44.572 07/10/1995,0.053,-0.562
12:12:44.574 07/10/1995,0.051,-0.562
12:12:44.576 07/10/1995,0.048,-0.572
12:12:44.578 07/10/1995,0.044,-0.572
12:12:44.580 07/10/1995,0.039,-0.572
12:12:44.582 07/10/1995,0.033,-0.572
12:12:44.584 07/10/1995,0.027,-0.575
12:12:44.586 07/10/1995,0.021,-0.575
12:12:44.588 07/10/1995,0.015,-0.575
12:12:44.590 07/10/1995,0.009,-0.575
12:12:44.592 07/10/1995,0.002,-0.572
12:12:44.594 07/10/1995,-0.004,-0.572
12:12:44.596 07/10/1995,-0.013,-0.572
12:12:44.598 07/10/1995,-0.022,-0.572
12:12:44.600 07/10/1995,-0.032,-0.565
12:12:44.602 07/10/1995,-0.043,-0.565
12:12:44.604 07/10/1995,-0.054,-0.565
12:12:44.606 07/10/1995,-0.065,-0.565
12:12:44.608 07/10/1995,-0.075,-0.543
12:12:44.610 07/10/1995,-0.084,-0.543
12:12:44.612 07/10/1995,-0.093,-0.543
12:12:44.614 07/10/1995,-0.103,-0.543
12:12:44.616 07/10/1995,-0.110,-0.502
12:12:44.618 07/10/1995,-0.117,-0.502
12:12:44.620 07/10/1995,-0.121,-0.502
12:12:44.622 07/10/1995,-0.126,-0.502
12:12:44.624 07/10/1995,-0.129,-0.449
12:12:44.626 07/10/1995,-0.131,-0.449
12:12:44.628 07/10/1995,-0.131,-0.449
12:12:44.630 07/10/1995,-0.131,-0.449
12:12:44.632 07/10/1995,-0.129,-0.379
12:12:44.634 07/10/1995,-0.126,-0.379
12:12:44.636 07/10/1995,-0.125,-0.379
12:12:44.638 07/10/1995,-0.123,-0.379
12:12:44.640 07/10/1995,-0.122,-0.287
12:12:44.642 07/10/1995,-0.121,-0.287
12:12:44.644 07/10/1995,-0.120,-0.287
12:12:44.646 07/10/1995,-0.119,-0.287
12:12:44.648 07/10/1995,-0.115,-0.185
12:12:44.650 07/10/1995,-0.111,-0.185
12:12:44.652 07/10/1995,-0.106,-0.185
12:12:44.654 07/10/1995,-0.102,-0.185
12:12:44.656 07/10/1995,-0.094,-0.079
12:12:44.658 07/10/1995,-0.087,-0.079
12:12:44.660 07/10/1995,-0.081,-0.079
12:12:44.662 07/10/1995,-0.075,-0.079
12:12:44.664 07/10/1995,-0.070,0.033
12:12:44.666 07/10/1995,-0.065,0.033
12:12:44.668 07/10/1995,-0.062,0.033
12:12:44.670 07/10/1995,-0.058,0.033
12:12:44.672 07/10/1995,-0.057,0.142
12:12:44.674 07/10/1995,-0.055,0.142
12:12:44.676 07/10/1995,-0.055,0.142
12:12:44.678 07/10/1995,-0.054,0.142
12:12:44.680 07/10/1995,-0.052,0.244
12:12:44.682 07/10/1995,-0.050,0.244
12:12:44.684 07/10/1995,-0.044,0.244
12:12:44.686 07/10/1995,-0.039,0.244
12:12:44.688 07/10/1995,-0.035,0.328
12:12:44.690 07/10/1995,-0.030,0.328
12:12:44.692 07/10/1995,-0.026,0.328
12:12:44.694 07/10/1995,-0.023,0.328
12:12:44.696 07/10/1995,-0.021,0.399
12:12:44.698 07/10/1995,-0.018,0.399
12:12:44.700 07/10/1995,-0.017,0.399
12:12:44.702 07/10/1995,-0.016,0.399
12:12:44.704 07/10/1995,-0.016,0.454
12:12:44.706 07/10/1995,-0.015,0.454
12:12:44.708 07/10/1995,-0.016,0.454
12:12:44.710 07/10/1995,-0.016,0.454
12:12:44.712 07/10/1995,-0.016,0.486
12:12:44.714 07/10/1995,-0.016,0.486
12:12:44.716 07/10/1995,-0.016,0.486
12:12:44.718 07/10/1995,-0.016,0.486
12:12:44.720 07/10/1995,-0.016,0.501
12:12:44.722 07/10/1995,-0.015,0.501
12:12:44.724 07/10/1995,-0.013,0.501
12:12:44.726 07/10/1995,-0.012,0.501
12:12:44.728 07/10/1995,-0.010,0.503
12:12:44.730 07/10/1995,-0.008,0.503
12:12:44.732 07/10/1995,-0.005,0.503
12:12:44.734 07/10/1995,-0.002,0.503
12:12:44.736 07/10/1995,0.001,0.489
12:12:44.738 07/10/1995,0.004,0.489
12:12:44.740 07/10/1995,0.009,0.489
12:12:44.742 07/10/1995,0.014,0.489
12:12:44.744 07/10/1995,0.021,0.466
12:12:44.746 07/10/1995,0.028,0.466
12:12:44.748 07/10/1995,0.037,0.466
12:12:44.750 07/10/1995,0.045,0.466
12:12:44.752 07/10/1995,0.055,0.429
12:12:44.754 07/10/1995,0.064,0.429
12:12:44.756 07/10/1995,0.072,0.429
12:12:44.758 07/10/1995,0.081,0.429
12:12:44.760 07/10/1995,0.087,0.392
12:12:44.762 07/10/1995,0.094,0.392
12:12:44.764 07/10/1995,0.099,0.392
12:12:44.766 07/10/1995,0.105,0.392
12:12:44.768 07/10/1995,0.112,0.351
12:12:44.770 07/10/1995,0.120,0.351
12:12:44.772 07/10/1995,0.130,0.351
12:12:44.774 07/10/1995,0.140,0.351
12:12:44.776 07/10/1995,0.150,0.306
12:12:44.778 07/10/1995,0.160,0.306
12:12:44.780 07/10/1995,0.161,0.306
12:12:44.782 07/10/1995,0.163,0.306
12:12:44.784 07/10/1995,0.156,0.259
12:12:44.786 07/10/1995,0.149,0.259
12:12:44.788 07/10/1995,0.135,0.259
12:12:44.790 07/10/1995,0.121,0.259
12:12:44.792 07/10/1995,0.105,0.216
12:12:44.794 07/10/1995,0.090,0.216
12:12:44.796 07/10/1995,0.079,0.216
12:12:44.798 07/10/1995,0.068,0.216
12:12:44.800 07/10/1995,0.062,0.171
12:12:44.802 07/10/1995,0.055,0.171
12:12:44.804 07/10/1995,0.050,0.171
12:12:44.806 07/10/1995,0.045,0.171
12:12:44.808 07/10/1995,0.040,0.131
12:12:44.810 07/10/1995,0.035,0.131
12:12:44.812 07/10/1995,0.027,0.131
12:12:44.814 07/10/1995,0.019,0.131
12:12:44.816 07/10/1995,0.008,0.092
12:12:44.818 07/10/1995,-0.003,0.092
12:12:44.820 07/10/1995,-0.018,0.092
12:12:44.822 07/10/1995,-0.032,0.092
12:12:44.824 07/10/1995,-0.048,0.057
12:12:44.826 07/10/1995,-0.063,0.057
12:12:44.828 07/10/1995,-0.076,0.057
12:12:44.830 07/10/1995,-0.089,0.057
12:12:44.832 07/10/1995,-0.099,0.024
12:12:44.834 07/10/1995,-0.110,0.024
12:12:44.836 07/10/1995,-0.118,0.024
12:12:44.838 07/10/1995,-0.125,0.024
12:12:44.840 07/10/1995,-0.129,-0.009
12:12:44.842 07/10/1995,-0.133,-0.009
12:12:44.844 07/10/1995,-0.134,-0.009
12:12:44.846 07/10/1995,-0.135,-0.009
12:12:44.848 07/10/1995,-0.136,-0.041
12:12:44.850 07/10/1995,-0.136,-0.041
12:12:44.852 07/10/1995,-0.138,-0.041
12:12:44.854 07/10/1995,-0.139,-0.041
12:12:44.856 07/10/1995,-0.141,-0.069
12:12:44.858 07/10/1995,-0.144,-0.069
12:12:44.860 07/10/1995,-0.145,-0.069
12:12:44.862 07/10/1995,-0.146,-0.069
12:12:44.864 07/10/1995,-0.146,-0.098
12:12:44.866 07/10/1995,-0.146,-0.098
12:12:44.868 07/10/1995,-0.144,-0.098
12:12:44.870 07/10/1995,-0.143,-0.098
12:12:44.872 07/10/1995,-0.141,-0.126
12:12:44.874 07/10/1995,-0.139,-0.126
12:12:44.876 07/10/1995,-0.139,-0.126
12:12:44.878 07/10/1995,-0.138,-0.126
12:12:44.880 07/10/1995,-0.138,-0.154
12:12:44.882 07/10/1995,-0.138,-0.154
12:12:44.884 07/10/1995,-0.138,-0.154
12:12:44.886 07/10/1995,-0.138,-0.154
12:12:44.888 07/10/1995,-0.137,-0.178
12:12:44.890 07/10/1995,-0.136,-0.178
12:12:44.892 07/10/1995,-0.133,-0.178
12:12:44.894 07/10/1995,-0.130,-0.178
12:12:44.896 07/10/1995,-0.126,-0.204
12:12:44.898 07/10/1995,-0.122,-0.204
12:12:44.900 07/10/1995,-0.119,-0.204
12:12:44.902 07/10/1995,-0.117,-0.204
12:12:44.904 07/10/1995,-0.116,-0.228
12:12:44.906 07/10/1995,-0.116,-0.228
12:12:44.908 07/10/1995,-0.117,-0.228
12:12:44.910 07/10/1995,-0.118,-0.228
12:12:44.912 07/10/1995,-0.119,-0.252
12:12:44.914 07/10/1995,-0.121,-0.252
12:12:44.916 07/10/1995,-0.121,-0.252
12:12:44.918 07/10/1995,-0.122,-0.252
12:12:44.920 07/10/1995,-0.121,-0.269
12:12:44.922 07/10/1995,-0.121,-0.269
12:12:44.924 07/10/1995,-0.114,-0.269
12:12:44.926 07/10/1995,-0.108,-0.269
12:12:44.928 07/10/1995,-0.089,-0.287
12:12:44.930 07/10/1995,-0.069,-0.287
12:12:44.932 07/10/1995,-0.030,-0.287
12:12:44.934 07/10/1995,0.010,-0.287
12:12:44.936 07/10/1995,0.075,-0.302
12:12:44.938 07/10/1995,0.140,-0.302
12:12:44.940 07/10/1995,0.225,-0.302
12:12:44.942 07/10/1995,0.310,-0.302
12:12:44.944 07/10/1995,0.398,-0.314
12:12:44.946 07/10/1995,0.487,-0.314
12:12:44.948 07/10/1995,0.554,-0.314
12:12:44.950 07/10/1995,0.621,-0.314
12:12:44.952 07/10/1995,0.646,-0.323
12:12:44.954 07/10/1995,0.672,-0.323
12:12:44.956 07/10/1995,0.652,-0.323
12:12:44.958 07/10/1995,0.632,-0.323
12:12:44.960 07/10/1995,0.576,-0.333
12:12:44.962 07/10/1995,0.521,-0.333
12:12:44.964 07/10/1995,0.451,-0.333
12:12:44.966 07/10/1995,0.381,-0.333
12:12:44.968 07/10/1995,0.320,-0.340
12:12:44.970 07/10/1995,0.259,-0.340
12:12:44.972 07/10/1995,0.220,-0.340
12:12:44.974 07/10/1995,0.180,-0.340
12:12:44.976 07/10/1995,0.165,-0.349
12:12:44.978 07/10/1995,0.149,-0.349
12:12:44.980 07/10/1995,0.150,-0.349
12:12:44.982 07/10/1995,0.150,-0.349
12:12:44.984 07/10/1995,0.159,-0.354
12:12:44.986 07/10/1995,0.167,-0.354
12:12:44.988 07/10/1995,0.175,-0.354
12:12:44.990 07/10/1995,0.184,-0.354
12:12:44.992 07/10/1995,0.188,-0.359
12:12:44.994 07/10/1995,0.192,-0.359
12:12:44.996 07/10/1995,0.197,-0.359
12:12:44.998 07/10/1995,0.202,-0.359
12:12:45.000 07/10/1995,0.212,-0.363
12:12:45.002 07/10/1995,0.222,-0.363
12:12:45.004 07/10/1995,0.237,-0.363
12:12:45.006 07/10/1995,0.251,-0.363
12:12:45.008 07/10/1995,0.259,-0.368
12:12:45.010 07/10/1995,0.268,-0.368
12:12:45.012 07/10/1995,0.263,-0.368
12:12:45.014 07/10/1995,0.259,-0.368
12:12:45.016 07/10/1995,0.240,-0.376
12:12:45.018 07/10/1995,0.220,-0.376
12:12:45.020 07/10/1995,0.190,-0.376
12:12:45.022 07/10/1995,0.160,-0.376
12:12:45.024 07/10/1995,0.129,-0.383
12:12:45.026 07/10/1995,0.097,-0.383
12:12:45.028 07/10/1995,0.071,-0.383
12:12:45.030 07/10/1995,0.044,-0.383
12:12:45.032 07/10/1995,0.023,-0.388
12:12:45.034 07/10/1995,0.001,-0.388
12:12:45.036 07/10/1995,-0.016,-0.388
12:12:45.038 07/10/1995,-0.033,-0.388
12:12:45.040 07/10/1995,-0.045,-0.397
12:12:45.042 07/10/1995,-0.057,-0.397
12:12:45.044 07/10/1995,-0.064,-0.397
12:12:45.046 07/10/1995,-0.070,-0.397
12:12:45.048 07/10/1995,-0.072,-0.404
12:12:45.050 07/10/1995,-0.075,-0.404
12:12:45.052 07/10/1995,-0.073,-0.404
12:12:45.054 07/10/1995,-0.072,-0.404
12:12:45.056 07/10/1995,-0.071,-0.411
12:12:45.058 07/10/1995,-0.070,-0.411
12:12:45.060 07/10/1995,-0.069,-0.411
12:12:45.062 07/10/1995,-0.068,-0.411
12:12:45.064 07/10/1995,-0.068,-0.420
12:12:45.066 07/10/1995,-0.068,-0.420
12:12:45.068 07/10/1995,-0.070,-0.420
12:12:45.070 07/10/1995,-0.072,-0.420
12:12:45.072 07/10/1995,-0.074,-0.430
12:12:45.074 07/10/1995,-0.076,-0.430
12:12:45.076 07/10/1995,-0.076,-0.430
12:12:45.078 07/10/1995,-0.076,-0.430
12:12:45.080 07/10/1995,-0.076,-0.437
12:12:45.082 07/10/1995,-0.076,-0.437
12:12:45.084 07/10/1995,-0.075,-0.437
12:12:45.086 07/10/1995,-0.073,-0.437
12:12:45.088 07/10/1995,-0.071,-0.452
12:12:45.090 07/10/1995,-0.068,-0.452
12:12:45.092 07/10/1995,-0.065,-0.452
12:12:45.094 07/10/1995,-0.062,-0.452
12:12:45.096 07/10/1995,-0.060,-0.461
12:12:45.098 07/10/1995,-0.059,-0.461
12:12:45.100 07/10/1995,-0.059,-0.461
12:12:45.102 07/10/1995,-0.059,-0.461
12:12:45.104 07/10/1995,-0.060,-0.473
12:12:45.106 07/10/1995,-0.060,-0.473
12:12:45.108 07/10/1995,-0.062,-0.473
12:12:45.110 07/10/1995,-0.063,-0.473
12:12:45.112 07/10/1995,-0.061,-0.484
12:12:45.114 07/10/1995,-0.059,-0.484
12:12:45.116 07/10/1995,-0.056,-0.484
12:12:45.118 07/10/1995,-0.053,-0.484
12:12:45.120 07/10/1995,-0.048,-0.496
12:12:45.122 07/10/1995,-0.042,-0.496
12:12:45.124 07/10/1995,-0.036,-0.496
12:12:45.126 07/10/1995,-0.029,-0.496
12:12:45.128 07/10/1995,-0.023,-0.506
12:12:45.130 07/10/1995,-0.017,-0.506
12:12:45.132 07/10/1995,-0.011,-0.506
12:12:45.134 07/10/1995,-0.005,-0.506
12:12:45.136 07/10/1995,0.001,-0.520
12:12:45.138 07/10/1995,0.006,-0.520
12:12:45.140 07/10/1995,0.012,-0.520
12:12:45.142 07/10/1995,0.018,-0.520
12:12:45.144 07/10/1995,0.024,-0.530
12:12:45.146 07/10/1995,0.029,-0.530
12:12:45.148 07/10/1995,0.033,-0.530
12:12:45.150 07/10/1995,0.038,-0.530
12:12:45.152 07/10/1995,0.043,-0.529
12:12:45.154 07/10/1995,0.048,-0.529
12:12:45.156 07/10/1995,0.050,-0.529
12:12:45.158 07/10/1995,0.053,-0.529
12:12:45.160 07/10/1995,0.055,-0.538
12:12:45.162 07/10/1995,0.056,-0.538
12:12:45.164 07/10/1995,0.057,-0.538
12:12:45.166 07/10/1995,0.058,-0.538
12:12:45.168 07/10/1995,0.059,-0.547
12:12:45.170 07/10/1995,0.059,-0.547
12:12:45.172 07/10/1995,0.059,-0.547
12:12:45.174 07/10/1995,0.059,-0.547
12:12:45.176 07/10/1995,0.059,-0.558
12:12:45.178 07/10/1995,0.058,-0.558
12:12:45.180 07/10/1995,0.056,-0.558
12:12:45.182 07/10/1995,0.054,-0.558
12:12:45.184 07/10/1995,0.049,-0.568
12:12:45.186 07/10/1995,0.044,-0.568
12:12:45.188 07/10/1995,0.039,-0.568
12:12:45.190 07/10/1995,0.033,-0.568
12:12:45.192 07/10/1995,0.029,-0.573
12:12:45.194 07/10/1995,0.024,-0.573
12:12:45.196 07/10/1995,0.018,-0.573
12:12:45.198 07/10/1995,0.013,-0.573
12:12:45.200 07/10/1995,0.006,-0.577
12:12:45.202 07/10/1995,0.000,-0.577
12:12:45.204 07/10/1995,-0.008,-0.577
12:12:45.206 07/10/1995,-0.016,-0.577
12:12:45.208 07/10/1995,-0.026,-0.570
12:12:45.210 07/10/1995,-0.037,-0.570
12:12:45.212 07/10/1995,-0.048,-0.570
12:12:45.214 07/10/1995,-0.059,-0.570
12:12:45.216 07/10/1995,-0.069,-0.556
12:12:45.218 07/10/1995,-0.079,-0.556
12:12:45.220 07/10/1995,-0.087,-0.556
12:12:45.222 07/10/1995,-0.095,-0.556
12:12:45.224 07/10/1995,-0.100,-0.526
12:12:45.226 07/10/1995,-0.106,-0.526
12:12:45.228 07/10/1995,-0.111,-0.526
12:12:45.230 07/10/1995,-0.117,-0.526
12:12:45.232 07/10/1995,-0.123,-0.481
12:12:45.234 07/10/1995,-0.129,-0.481
12:12:45.236 07/10/1995,-0.132,-0.481
12:12:45.238 07/10/1995,-0.136,-0.481
12:12:45.240 07/10/1995,-0.137,-0.423
12:12:45.242 07/10/1995,-0.138,-0.423
12:12:45.244 07/10/1995,-0.136,-0.423
12:12:45.246 07/10/1995,-0.134,-0.423
12:12:45.248 07/10/1995,-0.129,-0.348
12:12:45.250 07/10/1995,-0.124,-0.348
12:12:45.252 07/10/1995,-0.118,-0.348
12:12:45.254 07/10/1995,-0.112,-0.348
12:12:45.256 07/10/1995,-0.107,-0.259
12:12:45.258 07/10/1995,-0.103,-0.259
12:12:45.260 07/10/1995,-0.099,-0.259
12:12:45.262 07/10/1995,-0.096,-0.259
12:12:45.264 07/10/1995,-0.093,-0.163
12:12:45.266 07/10/1995,-0.090,-0.163
12:12:45.268 07/10/1995,-0.085,-0.163
12:12:45.270 07/10/1995,-0.080,-0.163
12:12:45.272 07/10/1995,-0.075,-0.059
12:12:45.274 07/10/1995,-0.069,-0.059
12:12:45.276 07/10/1995,-0.063,-0.059
12:12:45.278 07/10/1995,-0.057,-0.059
12:12:45.280 07/10/1995,-0.051,0.043
12:12:45.282 07/10/1995,-0.044,0.043
12:12:45.284 07/10/1995,-0.040,0.043
12:12:45.286 07/10/1995,-0.036,0.043
12:12:45.288 07/10/1995,-0.033,0.140
12:12:45.290 07/10/1995,-0.030,0.140
12:12:45.292 07/10/1995,-0.029,0.140
12:12:45.294 07/10/1995,-0.028,0.140
12:12:45.296 07/10/1995,-0.027,0.225
12:12:45.298 07/10/1995,-0.026,0.225
12:12:45.300 07/10/1995,-0.025,0.225
12:12:45.302 07/10/1995,-0.025,0.225
12:12:45.304 07/10/1995,-0.023,0.293
12:12:45.306 07/10/1995,-0.022,0.293
12:12:45.308 07/10/1995,-0.019,0.293
12:12:45.310 07/10/1995,-0.016,0.293
12:12:45.312 07/10/1995,-0.013,0.348
12:12:45.314 07/10/1995,-0.010,0.348
12:12:45.316 07/10/1995,-0.007,0.348
12:12:45.318 07/10/1995,-0.004,0.348
12:12:45.320 07/10/1995,-0.002,0.380
12:12:45.322 07/10/1995,0.001,0.380
12:12:45.324 07/10/1995,0.003,0.380
12:12:45.326 07/10/1995,0.004,0.380
12:12:45.328 07/10/1995,0.003,0.392
12:12:45.330 07/10/1995,0.002,0.392
12:12:45.332 07/10/1995,0.001,0.392
12:12:45.334 07/10/1995,0.000,0.392
12:12:45.336 07/10/1995,-0.001,0.392
12:12:45.338 07/10/1995,-0.002,0.392
12:12:45.340 07/10/1995,-0.002,0.392
12:12:45.342 07/10/1995,-0.002,0.392
12:12:45.344 07/10/1995,-0.001,0.378
12:12:45.346 07/10/1995,0.000,0.378
12:12:45.348 07/10/1995,0.004,0.378
12:12:45.350 07/10/1995,0.008,0.378
12:12:45.352 07/10/1995,0.015,0.348
12:12:45.354 07/10/1995,0.023,0.348
12:12:45.356 07/10/1995,0.033,0.348
12:12:45.358 07/10/1995,0.044,0.348
12:12:45.360 07/10/1995,0.056,0.314
12:12:45.362 07/10/1995,0.068,0.314
12:12:45.364 07/10/1995,0.079,0.314
12:12:45.366 07/10/1995,0.091,0.314
12:12:45.368 07/10/1995,0.099,0.268
12:12:45.370 07/10/1995,0.108,0.268
12:12:45.372 07/10/1995,0.113,0.268
12:12:45.374 07/10/1995,0.119,0.268
12:12:45.376 07/10/1995,0.124,0.222
12:12:45.378 07/10/1995,0.129,0.222
12:12:45.380 07/10/1995,0.135,0.222
12:12:45.382 07/10/1995,0.141,0.222
12:12:45.384 07/10/1995,0.147,0.174
12:12:45.386 07/10/1995,0.153,0.174
12:12:45.388 07/10/1995,0.155,0.174
12:12:45.390 07/10/1995,0.157,0.174
12:12:45.392 07/10/1995,0.151,0.128
12:12:45.394 07/10/1995,0.145,0.128
12:12:45.396 07/10/1995,0.131,0.128
12:12:45.398 07/10/1995,0.117,0.128
12:12:45.400 07/10/1995,0.101,0.080
12:12:45.402 07/10/1995,0.085,0.080
12:12:45.404 07/10/1995,0.075,0.080
12:12:45.406 07/10/1995,0.064,0.080
12:12:45.408 07/10/1995,0.059,0.035
12:12:45.410 07/10/1995,0.054,0.035
12:12:45.412 07/10/1995,0.053,0.035
12:12:45.414 07/10/1995,0.053,0.035
12:12:45.416 07/10/1995,0.050,-0.004
12:12:45.418 07/10/1995,0.048,-0.004
12:12:45.420 07/10/1995,0.039,-0.004
12:12:45.422 07/10/1995,0.030,-0.004
12:12:45.424 07/10/1995,0.018,-0.039
12:12:45.426 07/10/1995,0.006,-0.039
12:12:45.428 07/10/1995,-0.008,-0.039
12:12:45.430 07/10/1995,-0.022,-0.039
12:12:45.432 07/10/1995,-0.036,-0.069
12:12:45.434 07/10/1995,-0.050,-0.069
12:12:45.436 07/10/1995,-0.061,-0.069
